City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,iskateley,67.6803,53.1512,16.4,65,47,3.43,RU,1723350543
83,dudinka,69.4058,86.1778,18.51,46,0,4.98,RU,1723350545
84,beihai,21.4833,109.1,31.54,72,100,5.79,CN,1723350546
85,lompoc,34.6391,-120.4579,13.12,95,100,3.6,US,1723350547
86,moroto,2.5345,34.6666,18.52,78,43,0.25,UG,1723350548
87,fort st. john,56.2499,-120.8529,20.94,52,20,3.6,CA,1723350549
88,ancud,-41.8697,-73.8203,7.34,83,99,2.59,CL,1723350551
89,macapa,0.0389,-51.0664,26.99,89,0,3.09,BR,1723350552
90,le port,-20.9373,55.2919,23.0,76,10,4.45,RE,1723350553
91,uturoa,-16.7333,-151.4333,24.05,76,74,5.29,PF,1723350554
92,praia da vitoria,38.7333,-27.0667,22.64,88,40,6.33,PT,1723350557
93,whitehorse,60.7161,-135.0538,21.43,19,75,5.66,CA,1723350558
94,port victoria,0.0939,33.9756,19.7,77,39,3.7,KE,1723350559
95,kapa'a,22.0752,-159.319,28.18,76,75,5.66,US,1723350561
96,saint-pierre,-21.3393,55.4781,22.82,56,75,2.06,RE,1723350563
97,copala,16.65,-98.9833,26.18,81,82,1.35,MX,1723350564
98,mahdia,35.5047,11.0622,24.97,70,0,0.63,TN,1723350565
99,college,64.8569,-147.8028,13.99,71,100,3.09,US,1723350566
100,pacific grove,36.6177,-121.9166,17.34,90,0,3.13,US,1723350567
101,galliano,29.4422,-90.2992,27.78,72,0,3.01,US,1723350569
102,bamyan,34.75,67.25,15.8,43,0,3.76,AF,1723350570
103,revda,56.801,59.9303,13.73,59,7,2.03,RU,1723350571
104,lazaro cardenas,17.9583,-102.2,25.22,88,100,1.58,MX,1723350572
105,aasiaat,68.7098,-52.8699,3.21,97,100,1.21,GL,1723350573
106,qujing,25.4833,103.7833,19.6,80,98,4.22,CN,1723350575
107,hecun,36.5333,114.1111,33.09,34,0,6.8,CN,1723350576
108,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,59,20,6.0,RU,1723350577
109,avellaneda,-29.1176,-59.6583,7.6,59,1,2.98,AR,1723350580
110,lebu,-37.6167,-73.65,7.77,93,28,3.07,CL,1723350582
111,san luis de la loma,17.2706,-100.8939,26.13,85,100,2.09,MX,1723350583
112,plock,52.5468,19.7064,16.69,74,90,2.29,PL,1723350584
113,mexia,31.6799,-96.4822,28.83,74,0,1.79,US,1723350586
114,igarka,67.4667,86.5833,15.2,55,88,6.6,RU,1723350587
115,fale old settlement,-9.3852,-171.2468,28.25,73,3,9.26,TK,1723350588
116,alotau,-10.3069,150.4462,26.01,89,85,2.56,PG,1723350589
117,albany,42.6001,-73.9662,17.45,70,68,0.89,US,1723350291
118,bredasdorp,-34.5322,20.0403,9.74,87,11,4.78,ZA,1723350592
119,xai-xai,-25.0519,33.6442,20.36,54,0,5.04,MZ,1723350593
120,uribia,11.7139,-72.266,29.06,67,68,4.39,CO,1723350594
121,margaret river,-33.95,115.0667,16.64,57,17,7.24,AU,1723350595
122,nemuro,43.3236,145.575,15.5,98,100,7.19,JP,1723350596
123,banos,-1.4,-78.4167,12.04,94,88,0.52,EC,1723350598
124,remire-montjoly,4.9167,-52.2667,24.02,100,100,0.51,GF,1723350599
125,georgetown,5.4112,100.3354,30.97,64,20,4.12,MY,1723350600
126,camrose,53.0168,-112.8353,15.51,63,61,3.94,CA,1723350601
127,puerto lempira,15.2667,-83.7667,26.51,87,15,2.7,HN,1723350603
128,iqaluit,63.7506,-68.5145,10.85,87,75,3.6,CA,1723350604
129,sassandra,4.95,-6.0833,22.42,96,89,2.14,CI,1723350605
130,obo,5.3998,26.4869,20.16,98,99,0.73,CF,1723350606
131,constantia,44.1833,28.65,23.38,58,0,5.76,RO,1723350609
132,east london,-33.0153,27.9116,15.52,82,0,2.57,ZA,1723350610
133,thinadhoo,0.5333,72.9333,28.43,72,28,5.08,MV,1723350611
134,afaahiti,-17.75,-149.2833,24.93,79,100,4.48,PF,1723350612
135,badger,64.8,-147.5333,13.95,73,100,3.09,US,1723350613
136,nuuk,64.1835,-51.7216,3.34,100,100,4.63,GL,1723350615
137,handan,36.6006,114.4678,35.09,31,1,3.92,CN,1723350616
138,kuala belait,4.5833,114.1833,31.09,79,83,3.25,BN,1723350617
139,princeville,45.7668,-61.2985,22.57,95,75,2.06,CA,1723350618
140,maintirano,-18.0667,44.0167,23.56,73,0,2.85,MG,1723350620
141,cockburn town,21.4612,-71.1419,27.42,85,0,8.69,TC,1723350621
142,alice springs,-23.7,133.8833,21.75,26,1,4.63,AU,1723350619
143,la passe,45.5549,-0.8967,21.13,80,7,4.17,FR,1723350623
144,dese,11.1333,39.6333,14.06,86,100,2.17,ET,1723350624
145,feni,23.0186,91.41,29.76,75,100,6.1,BD,1723350626
146,vyazemskiy,47.5378,134.7525,19.29,96,100,2.01,RU,1723350627
147,santa maria del oro,25.9333,-105.3667,20.02,69,100,3.32,MX,1723350628
148,namibe,-15.1961,12.1522,16.92,93,11,1.9,AO,1723350629
149,gizo,-8.103,156.8419,26.14,82,100,5.14,SB,1723350630
150,sechura,-5.5569,-80.8222,18.04,80,82,6.05,PE,1723350632
151,pariaman,-0.619,100.12,27.03,83,80,4.15,ID,1723350633
152,arraial do cabo,-22.9661,-42.0278,19.24,62,29,9.56,BR,1723350634
153,rongelap,11.1635,166.8941,28.6,74,72,5.38,MH,1723350635
154,greenland,43.0362,-70.8328,21.11,72,40,2.57,US,1723350636
155,salinopolis,-0.6136,-47.3561,26.84,79,77,5.46,BR,1723350638
156,paita,-5.0892,-81.1144,17.59,85,37,4.56,PE,1723350639
157,eskisehir,39.7767,30.5206,17.95,77,0,2.57,TR,1723350640
158,ribeira grande,38.5167,-28.7,22.65,82,83,7.15,PT,1723350641
159,luis correia,-2.8792,-41.6669,23.55,84,34,5.1,BR,1723350642
160,avarua,-21.2078,-159.775,22.03,60,20,1.03,CK,1723350644
161,utrik,11.2278,169.8474,28.29,74,99,5.39,MH,1723350645
162,san antonio de pale,-1.4014,5.6325,22.73,84,100,5.1,GQ,1723350646
163,tindouf,27.6711,-8.1474,40.25,11,29,7.2,DZ,1723350647
164,northam,51.0333,-4.2167,18.47,95,4,2.53,GB,1723350649
165,anadyr,64.75,177.4833,14.28,76,40,6.0,RU,1723350650
166,pine lake park,40.0032,-74.2565,23.38,78,40,0.0,US,1723350651
167,la'ie,21.6477,-157.9253,27.98,83,59,2.24,US,1723350652
168,atafu village,-8.5421,-172.5159,27.89,78,3,9.17,TK,1723350653
169,pillaro,-1.1667,-78.5333,9.53,79,87,0.87,EC,1723350655
170,tondano,1.3038,124.9112,29.05,60,29,3.03,ID,1723350656
171,stanley,54.868,-1.6985,10.01,90,0,1.03,GB,1723350657
172,qaqortoq,60.7167,-46.0333,5.98,95,100,2.83,GL,1723350658
173,kamloops,50.6665,-120.3192,26.55,32,20,1.03,CA,1723350660
174,berberati,4.2612,15.7922,20.21,99,91,1.17,CF,1723350661
175,port lincoln,-34.7333,135.8667,16.64,60,14,6.15,AU,1723350622
176,itupiranga,-5.1347,-49.3267,26.18,64,86,1.31,BR,1723350663
177,colonia,50.9333,6.95,18.86,84,5,0.88,DE,1723350664
178,st. john's,47.5649,-52.7093,21.82,97,100,10.8,CA,1723350666
179,barabai,-2.5833,115.3833,34.82,38,7,0.87,ID,1723350667
180,kolwezi,-10.7148,25.4667,14.18,35,3,2.74,CD,1723350668
181,katabu,-4.9333,122.5167,31.9,43,26,4.1,ID,1723350669
182,tabou,4.423,-7.3528,23.62,90,93,3.27,CI,1723350670
183,morehead city,34.7229,-76.726,27.21,92,77,1.79,US,1723350672
184,port elizabeth,-33.918,25.5701,15.16,88,100,4.63,ZA,1723350674
185,saint-philippe,-21.3585,55.7679,22.77,73,35,6.94,RE,1723350675
186,sabang,5.8933,95.3214,27.3,81,100,10.3,ID,1723350676
187,tashtyp,52.7939,89.8983,20.23,59,84,7.01,RU,1723350678
188,enewetak,11.3474,162.3373,28.91,72,99,4.65,MH,1723350679
189,qamdo,31.1667,97.2333,16.22,26,0,1.99,CN,1723350680
190,egilsstadir,65.2653,-14.3948,7.94,92,100,1.41,IS,1723350681
191,klyuchi,52.2667,79.1667,15.81,71,95,4.05,RU,1723350683
192,wynyard,-41.0,145.7167,16.77,71,97,1.34,AU,1723350684
193,kendari,-3.945,122.4989,28.52,59,46,2.92,ID,1723350685
194,khandyga,62.6667,135.6,25.2,41,46,1.25,RU,1723350686
195,tolanaro,-25.0319,46.9987,19.04,77,20,3.09,MG,1723350687
196,nabire,-3.3667,135.4833,27.86,81,13,1.07,ID,1723350689
197,fort bragg,35.139,-79.006,25.91,91,0,1.54,US,1723350690
198,tshabong,-26.05,22.45,9.29,38,4,3.26,BW,1723350691
199,mollendo,-17.0231,-72.0147,14.08,84,55,3.58,PE,1723350692
200,dryden,49.7833,-92.7503,17.16,77,100,2.57,CA,1723350693
201,shakawe,-18.3667,21.85,13.23,26,0,1.83,BW,1723350695
202,cabedelo,-6.9811,-34.8339,21.37,84,37,3.23,BR,1723350696
203,hobyo,5.3505,48.5268,26.04,71,48,9.22,SO,1723350698
204,tucurui,-3.7661,-49.6725,23.28,81,35,2.39,BR,1723350700
205,beau vallon,-20.4189,57.6953,21.22,83,40,5.66,MU,1723350701
206,kalmunai,7.4167,81.8167,28.34,77,100,3.28,LK,1723350702
207,boa vista,2.8197,-60.6733,22.99,94,40,1.03,BR,1723350703
208,lata,40.1629,-8.3327,17.82,82,0,0.69,PT,1723350704
209,kharabali,47.4196,47.2568,27.91,32,38,4.16,RU,1723350706
210,tocopilla,-22.092,-70.1979,16.33,68,95,2.59,CL,1723350707
211,smara,26.7384,-11.6719,25.15,49,2,2.68,EH,1723350708
212,nouadhibou,20.931,-17.0347,20.99,88,28,4.63,MR,1723350709
213,aykhal,66.0,111.5,8.77,73,100,2.89,RU,1723350711
214,vadso,70.0744,29.7487,16.49,77,20,4.12,NO,1723350712
215,sisimiut,66.9395,-53.6735,4.87,95,100,4.35,GL,1723350713
216,sao miguel,-5.4667,-35.3667,21.43,83,31,5.35,BR,1723350714
217,lasem,-6.6922,111.4527,32.24,38,2,1.92,ID,1723350715
218,saldanha,-33.0117,17.9442,12.03,82,78,3.8,ZA,1723350717
219,okhotsk,59.3833,143.3,16.12,83,33,5.33,RU,1723350718
220,dunkwa,5.9656,-1.78,22.76,89,92,1.85,GH,1723350719
221,fisterra,42.9049,-9.2629,19.45,83,0,6.29,ES,1723350720
222,timimoun,29.2639,0.231,30.21,21,0,4.63,DZ,1723350722
223,auki,-8.7676,160.7034,23.67,95,100,1.73,SB,1723350723
224,hamilton,39.1834,-84.5333,18.1,79,0,2.06,US,1723350585
225,kapuskasing,49.4169,-82.4331,11.05,100,100,4.12,CA,1723350725
226,holualoa,19.6228,-155.9522,25.91,82,100,4.12,US,1723350726
227,bukene,-4.2333,32.8833,18.05,49,1,3.56,TZ,1723350728
228,villa gesell,-37.2639,-56.973,9.47,78,24,8.91,AR,1723350729
229,chonchi,-42.6128,-73.8092,6.73,95,95,0.98,CL,1723350730
230,'ain el turk,35.7438,-0.7693,26.38,89,0,2.06,DZ,1723350731
231,richards bay,-28.783,32.0377,18.76,33,42,1.75,ZA,1723350732
232,soio,-6.1349,12.3689,21.72,90,72,3.15,AO,1723350734
233,nantucket,41.2835,-70.0995,21.11,88,20,3.09,US,1723350735
234,puerto aysen,-45.4,-72.7,4.22,99,99,2.01,CL,1723350736
235,mbalmayo,3.5167,11.5,22.18,90,99,2.14,CM,1723350737
236,gadzhiyevo,69.2551,33.3362,16.47,67,9,7.68,RU,1723350739
237,trongsa,27.5026,90.5072,18.6,81,100,2.23,BT,1723350740
238,cedar hills,40.4141,-111.7585,26.27,39,54,2.24,US,1723350741
239,greymouth,-42.4667,171.2,7.89,94,99,1.03,NZ,1723350742
240,kerikeri,-35.2268,173.9474,13.3,71,29,2.67,NZ,1723350743
241,galle,6.0367,80.217,29.4,83,99,0.89,LK,1723350745
242,omdurman,15.6445,32.4777,28.82,63,100,3.73,SD,1723350746
